Sr.,Taxpayer Name,Registration No.,Tax Paid
11070,DIVA (PRIVATE) LIMITED,1690272,"3 93,417"
11071,DIVAN METHARAM DHARMADA TRUST,4442814,-
11072,DIVERGENT INTERNATIONAL (PRIVATE) LIMITED,4045466,-
11073,DIVERSE SERVICES INTERNATIONAL (PRIVATE) LIMITED,2131611,"8,245,909"
11074,DIVERSIFIED LOGISTICS ( PRIVATE ) LIMITED,1509286,"1 26,762"
11075,DIVERSIFIED MARKETS (2010) POOLED FUND TRUST,7545959,-
11076,DIVERSIFIED SERVICES (PRIVATE) LIMITED,2766142,-
11077,DIVERSITY CONSULTING (PRIVATE) LIMITED,8949186,-
11078,DIVINE ASSOCIATES BUILDERS AND CIVIL CONTRACTORS (PVT.) LIMITED,7199377,"7,725,386"
11079,DIVINE CNG & FILLING STATION [PRIVATE] LIMITED,3551963,"6,091,670"
11080,DIVINE COMMUNICATIONS AND NETWORK (PRIVATE) LIMITED,8916703,-
11081,DIVINE DEVELOPERS (PRIVATE) LIMITED,2179022,"3,983,524"
11082,DIVINE ENTERPRISES (PVT.) LIMITED,7935404,-
11083,DIVINE INDUSTRIES (PRIVATE) LIMITED,7572711,-
11084,DIVINE INTERVENTION (PRIVATE) LIMITED,3338724,-
11085,DIVINE MARKETING (PRIVATE) LIMITED,8912641,-
11086,DIVINE POULTRY FARMS (PRIVATE) LIMITED,3747786,-
11087,DIVINE POWER DISTRIBUTION COMPANY (PVT.) LIMITED,7310226,-
11088,DIVINE POWER GENERATION PRIVATE LIMITED,4350877,-
11089,DIVINE WATER SOLUTIONS (PRIVATE) LIMITED,7613830,-
11090,DIVISIBLE PAKISTAN (PRIVATE) LIMITED,8915878,-
11091,DIVISIONAL MODEL COLLEGE,2731382,"3,000"
11092,DIVISIONAL PUBLIC SCHOOL,2631415,-
11093,DIVISIONAL PUBLIC SCHOOL LAHORE,9022605,-
11094,DIWAN INTERNATIONAL (PVT.) LIMITED,7459315,"409,025"
11095,DIYA PAKISTAN,3034800,-
11096,DIYAN HAJJ & UMRA SERVICES (PRIVATE) LIMITED,2648484,-
11097,DIYAN HASAN INTERNATIONAL TRADING & CONTRACTING (PVT) LIMITED,4031198,"4 64,839"
11098,DIYANAH ISLAMIC FINANCIAL SERVICES (PRIVATE) LIMITED,3835093,"3 11,381"
11099,DIYAR E REHMAT TRAVELS (PRIVATE) LIMITED,7499119,"10,661"
11100,DIYAR HAJJ & UMRAH SERVICES (PRIVATE) LIMITED,3981952,-
11101,DIYAR-E-AWAL-O-AKHER TRAVEL & TOURS (PRIVATE) LIMITED,3090877,-
11102,DIYAR-E-HABIB HAJJ & UMRAH SERVICES,2920546,"18,872"
11103,DIYAR-E-MADINA TRAVEL AND TOURS (PRIVATE) LIMITED,2458866,"6 30,590"
11104,DIYAR-E-MUHAMMAD HAJJ UMRAH SERVICES (PRIVATE) LIMITED,4299489,-
11105,DIYAR-E-MUSTAFA TRAVELS & TOURS (PRIVATE) LIMITED,4237705,"14,818"
11106,DIYAR-E-NABI HAJJ UMRAH TRAVELS (PVT.) LIMITED,5296319,-
11107,DIYAR-E-RASOOL TRAVELS (PRIVATE) LIMITED,2674575,"515,313"
11108,DJM SECURITIES LIMITED,1415234,"18,984,407"
11109,DK FITNESS (PRIVATE) LIMITED,7440735,-
11110,DKT PAKISTAN (PRIVATE)LIMITED,4020163,"5,562,202"
11111,DLI LIMITED,4284331,-
11112,D-LINK MIDDLE EAST FZCO,3270647,-
11113,DM & SONS (PVT.) LIMITED,7178643,-
11114,DM GLOBAL IMPEX (PRIVATE) LIMITED,8905635,-
11115,DMC LAHORE (PVT.) LIMITED,7207564,"10,297,051"
11116,DMC MARKETS (PRIVATE) LIMITED,7879309,-
11117,DMDMAX PAKISTAN (PVT.) LIMITED,7242899,-
11118,DMF (PRIVATE) LIMITED,7559220,-
11119,DMK CARGO (PRIVATE) LIMITED,3324346,-
11120,DMK LOGISTICS (PRIVATE) LIMITED,1252153,"1 97,126"
11121,DML PAKISTAN (PRIVATE) LIMITED,1350672,"5 96,862"
11122,DMS RESEARCH (PRIVATE) LIMITED,2140267,"3,347"
11123,DNJ (PRIVATE) LIMITED,3682264,-
11124,DO ADVERTISING (PVT.) LIMITED,7359085,"4,504,226"
11125,DOAAB TEXTILE INDUSTRIES (PRIVATE) LIMITED,2123800,-
11126,DOABA FOUNDATION,2547705,-
11127,DOCIT (PVT.) LIMITED,7319404,"1 32,590"
11128,DOCKS (PRIVATE) LIMITED,3997968,"2 61,175"
11129,DOCTHERS (PVT.) LIMITED,7178657,"1 81,404"
11130,DOCTOR AND DOCTORS (PRIVATE) LIMITED,3384304,"1 80,217"
11131,DOCTOR SOLUTIONZ (PVT.) LIMITED,7222154,-
11132,DOCTORS CO-OPERATIVE HOUSING SOCIETY LIMITED,2948526,"2 02,548"
11133,DOCTOR'S DAIRIES AND FEEDS PRIVATE LIMITED,4303667,-
11134,DOCTORS DIAGNOSTIC LABORATORY & CONSULTANTS (PVT.) LIMITED,7389240,-
11135,DOCTORS HOSPITAL AND MEDICAL CENTER (PRIVATE) LIMITED,1490774,"17,284,608"
11136,DOCUMENT RECALL (PVT.) LIMITED,7439236,"4 19,707"
11137,DODHYS AGENCIES (PRIVATE) LIMITED,1731944,"1,129,241"
11138,DOGAR TRADING CORPORATION (PRIVATE) LIMITED,823012,-
11139,DOGMA SECURITY & CONSULTANCY SERVICES (PRIVATE) LIMITED,2276199,"3,462,897"
11140,DOHLER MIDDLE EAST LIMITED,7420967,-
11141,"DOHWA ENGINEERING CO.,LTD",4116259,"13,807,731"
11142,DOLITSO PAKISTAN (PRIVATE) LIMITED,7921248,"1,924"
11143,DOLLAR EAST (PRIVATE) LIMITED,305439,-
11144,DOLLAR EAST EXCHANGE COMPANY (PRIVATE) LIMITED.,1483126,"19,792,113"
11145,DOLLAR EAST EXCHANGE COMPANY EMPLOYEES' PROVIDENT FUND,7436089,-
11146,DOLLAR INDUSTRIES (PRIVATE) LIMITED,1125593,"12,771,960"
11147,DOLLAR SEED COMPANY (PVT.) LIMITED,7127184,-
11148,DOLLAR STATIONERY (PRIVATE) LIMITED,2550348,"1,152,307"
11149,DOLLYMA INDUSTRIES (PRIVATE) LIMITED,3199843,"28,135"
11150,DOLMEN (PRIVATE) LIMITED,710245,-
11151,DOLMEN CITY EXECUTIVE TOWERS OWNERS ASSOCIATION,3534340,"3,474,175"
11152,DOLMEN CITY REIT,4360482,-
11153,DOLMEN REAL ESTATE MANAGEMENT (PVT.) LIMITED EMPLOYEES PROVIDENT FUND,7347144,-
11154,DOLMEN REAL ESTATE MANAGEMENT PRIVATE LIMITED,4386954,"30,897,632"
11155,DOLPHI (PRIVATE) LIMITED,3088239,-
11156,DOLPHIN AVIATION SERVICES (PRIVATE) LIMITED,2497653,"4,603"
11157,DOLPHIN ENERGY (PRIVATE) LIMITED,7403609,-
11158,DOLPHIN MEDIA (PRIVATE) LIMITED,2104503,"2,953,394"
11159,DOLPHIN SHIPPERS (PRIVATE) LIMITED,2678376,"3,048,765"
11160,DOLSAR MUHENDISLIK ANONIM SIRKETI,7912678,"18,548,055"
11161,DOM ASSOCIATES (PVT.) LIMITED,7371538,-
11162,DOMAIN NAME DISPUTE RESOLUTION CENTRE (PRIVATE) LIMITED,2708161,"6,621"
11163,DOME CONSTRUCTION AND CONTRACTING (PRIVATE) LIMITED (PVT.) LIMITED,7357722,-
11164,DOME TRAVEL & TOURS (PRIVATE) LIMITED,3670471,"22,331"
11165,DOMINAR ENGINEERS (PVT.) LIMITED,7162772,-
11166,DOMINION FREIGHT & LOGISTICS (PVT.) LIMITED,7233239,"23,405"
11167,DOMINION TELECOM (PRIVATE) LIMITED,3231377,-
11168,DON BOSCO EDUCATIONAL SOCITY,3380594,"372,707"
11169,DON VALLEY PHARMACEUTICALS ( PRIVATE ) LIMITED,1491930,"4,636,450"
11170,DONA INTERNATIONAL (PRIVATE) LIMITED,1407675,"1 48,092"
11171,DONATION FOUNDATION,8938780,"9,068"
11172,DONG FANG ELECTRIC CORPORATION,994703,-
11173,DONG XING STONES MINING (PRIVATE) LIMITED,7953423,-
11174,DONGFANG ELLECTRIC CORPORATION LIMITED,3096044,"7 08,737"
11175,DONOM INTERNATIONAL (PVT) LTD,1328686,-
11176,DOOR OF AWARENESS (REG),3680593,-
11177,DOOS MARKETING PRIVATE LIMITED,4394604,-
11178,DOPASI FOUNDATION,7442942,"43,139"
11179,DOPASI ORGANIZATION FOR SUSTAINABLE DEVELOPMENT,7279102,-
11180,DORSET TRADING (PRIVATE) LIMITED,3965735,-
11181,DOSSA COTTON & GENERAL TRADING (PRIVATE) LIMITED,698615,"8,616,825"
11182,DOSSANI TRAVELS (PRIVATE) LIMITED,1019355,"1,039,698"
11183,DOSSLANI'S SECURITIES (PRIVATE) LIMITED,1334094,"30,682"
11184,DOST CORPORATION (SMC-PRIVATE) LIMITED,5388799,"8,209"
11185,DOST DIGITAL COMMUNICATION NETWORK (PVT.) LIMITED,7225230,-
11186,DOST SONS (PRIVATE) LIMITED,2895724,"51,131"
11187,DOST SONS COTTON MILLS (PRIVATE) LIMITED,1343747,-
11188,DOST SPINNERS (PRIVATE) LIMITED,1333502,-
11189,DOST STEELS LIMITED,1931053,"4,695,320"
11190,DOST WELFARE TRUST,4286425,-
11191,DOSTANA MALE HEALTH SOCIETY,7164994,-
11192,DOSTI CABLE NETWORK (PRIVATE) LIMITED,3796940,"27,532"
11193,DOSTI WELFARE ORGANIZATION,4248701,-
11194,DOT 3 SOLUTIONS (SMC-PRIVATE) LIMITED,8914770,-
11195,DOT PRINT (PVT.) LIMITED,2389358,"3,633,149"
11196,DOT TECHNOHIVE (PRIVATE) LIMITED,7982954,"10,941"
11197,DOT TO DOT TECHNOLOGIES (PVT.) LIMITED,7625847,-
11198,DOTCARE (PRIVATE) LIMITED,2949484,"4 35,272"
11199,DOTCOM INTERNATIONAL (PRIVATE) LIMITED,3769187,-
11200,DOTKOM TECHNOLOGIES (PRIVATE) LIMITED,8900825,-
11201,DOTREPUBLIC MEDIA (PRIVATE) LIMITED,5187202,-
11202,DOTZERO (PVT.) LIMITED,7173626,-
11203,DOTZERO LIFESTYLE VENTURES (PVT.) LIMITED,5107512,-
11204,DOUBLE A INTERNATIONAL NETWORK CO. (PRIVATE) LIMITED EMPLOYEE’S PROVIDENT FUND,4387893,-
11205,DOUBLE A INTERNATIONAL NETWORK CO. (PRIVATE) LIMITED EMPLOYEES GRATUITY FUND,4387910,-
11206,DOUBLE A INTERNATIONAL NETWORK COMPANY (PRIVATE) LIMITED,2945225,"2 22,026"
11207,DOUBLE A PACKAGING INDUSTRIES PVT LTD,4369128,"1,313,273"
11208,DOUBLE RIVER INVESTMENTS LIMITED,7543923,"5 75,280"
11209,DOUBLE TAPP SECURITY SERVICES (PRIVATE) LIMITED,3169293,"6,491,379"
11210,DOVE GREEN (PVT.) LIMITED,7300867,318
11211,DOW SEEDS (PRIVATE) LIMITED,7934610,-
11212,DOW UNIVERSITY OF HEALTH SCIENCES,3217351,-
11213,DOWELL SCHLUMBERGER (WESTERN) S. A.,816095,"123,282,239"
11214,DOWNTOWN (PVT.) LIMITED,2696328,-
11215,DOWNTOWN EVALUATORS (PRIVATE) LIMITED,3921704,"1 27,150"
11216,DOZAN HOUSING (PRIVATE) LIMITED,2846126,"1,967"
11217,DP WORLD FZE,3239225,"3,225,250"
11218,DP WORLD OVERSEAS PTY LIMITED,1781120,"419,314,530"
11219,DP WORLD QASIM LIMITED,2904348,"164,887,110"
11220,DPAM EQUITIES L,7475387,"3 96,000"
11221,DPG SYSTEMS (PRIVATE) LIMITED,8915563,-
11222,DPL (PRIVATE) LIMITED,2226849,"77,102"
11223,DR ABDUL HAMEED KHAN'S WELFARE TRUST,3046361,-
11224,DR ASGHAR MIRZA MEMORIAL TRUST,3056242,"3,433"
11225,DR MAHMOOD AHMAD STEM CELL & NANO TECHNOLOGY CLINICS (PRIVATE) LIMITED,7987032,-
11226,DR PANJWANI MEMORIAL TRUST,1280068,-
11227,DR RAFIQ APIARIES PRIVATE LIMITED,4404429,-
11228,DR RANAS PET CARE CENTER (PRIVATE) LIMITED,4124741,-
11229,DR ZIAUDDIN HOSPITAL,1363771,"74,144,367"
11230,DR. A. Q. KHAN HOSPITAL TRUST,4224393,-
11231,DR. A. Q. KHAN INSTITUTE OF COMPUTER SCIENCES & INFORMATION TECHNOLOGY KAHUTA (KICSIT),9010637,-
11232,DR. A. Q. KHAN SCHOOL SYSTEM (PRIVATE) LIMITED,4321202,-
11233,DR. FRIGZ INSTRUMENTS (PVT.) LIMITED,7185210,-
11234,DR. HALIM HOSPITAL (PRIVATE) LIMITED,984556,"2 79,748"
11235,DR. JAMEEL JALIBI FOUNDATION,7402497,-
11236,DR. M.D. CHOWDHRY FOUNDATION,7223250,-
11237,DR. MUHAMMAD MASOOD FAROOQI TRUST WELFARE SOCIETY,7133756,-
11238,DR. NAJEEB LECTURES (PRIVATE) LIMITED,7910777,"5,784"
11239,DR. SADAF'S SPECIALIZED CLINICS AND CHILDREN HOSPITAL (PVT.) LIMITED,7918609,"16,736"
11240,DR.A.Q.KHAN INSTITUTE OF TECHNOLOGY MIANWALI,7410866,-
11241,DR.EBERLE PAKISTAN (PRIVATE) LIMITED,3603197,"9 00,060"
11242,DR.FRIGZ INTERNATIONAL (PRIVATE) LIMITED,1427205,"7,750,987"
11243,DR.SADIQ FOUNDATION,3608554,-
11244,DR.YASIN ZIA CHINA MEDICARE WELFARE HEALTH CENTRE,3995193,-
11245,DRAGON ASSOCIATES (PRIVATE) LIMITED,7924156,-
11246,DRAGON SECURITY SERVICES (PRIVATE) LIMITED,3150616,"2,584,149"
11247,DRAGON SOLAR DEVELOPMENT PAKISTAN LIMITED,4349286,-
11248,DRAGON TRAVELS & TOURISM (PRIVATE) LIMITED,3976357,"1 28,969"
11249,DRAKKEN,4161809,-
11250,DRD MINING DEVELOPERS (PVT.) LIMITED,7485324,-
11251,DRE (PVT.) LIMITED,2134895,-
11252,DREAM BUILDERS (PRIVATE) LIMITED,7894832,-
11253,DREAM DESTINATIONS (PVT.) LIMITED,7171331,"5 54,088"
11254,DREAM FEEDS MILL (PVT.) LIMITED,7373312,-
11255,DREAM FOUNDATION TRUST,3756046,"9,150"
11256,DREAM HOSPITALITY (PRIVATE) LIMITED,8929858,-
11257,DREAM HOUSING (PRIVATE) LIMITED,8906179,-
11258,DREAM INDUSTRIES (PVT.) LIMITED,7275989,-
11259,DREAM LAND CONTRACTORS (PRIVATE) LIMITED,7911283,-
11260,DREAM LAND MOTELS (PRIVATE) LIMITED,656620,"5 93,189"
11261,DREAM RESORTS LIMITED,2128748,-
11262,DREAM TEXTILES (PRIVATE) LIMITED,2398390,-
11263,DREAMCO EXPRESS PAKISTAN (PRIVATE) LIMITED,1967717,"1,217,685"
11264,DREAMENTO (PVT.) LIMITED,5108693,-
11265,DREAMLAND TRAVEL SERVICES (PRIVATE) LIMITED,2819247,"57,393"
11266,DREAMNODE STUDIOS (PRIVATE) LIMITED,7993982,-
11267,DREAMS AMBASSADOR (PVT.) LIMITED,7110533,-
11268,DREAMS NETWORK & TECHNOLOGY (PRIVATE) LIMITED,3785712,"4,918,918"
11269,DREAMS TRAVEL & TOURS (PVT.) LIMITED,7325492,-
11270,DREAMWORLD LIMITED,1018722,"13,768,767"
11271,DREAMZ PINE VALLEY DEVELOPERS (PRIVATE) LIMITED,2970710,-
11272,DREAMZ VISIONZ (PRIVATE)LIMITED,2975220,-
11273,DREDGETECH (PVT) LTD,3953046,-
11274,DREDGING INTERNATIONAL,2264705,-
11275,DREKKAR KINGSWAY LIMITED,4317080,18
11276,DRESSUP (PRIVATE) LIMITED,4406263,"2 98,889"
11277,DRIEHAUS EMERGING MARKETS GROWTH FUND,4000286,"54,975"
11278,DRIEHAUS EMERGING MARKETS SMALL CAP GROWTH FUND,4000284,"1,265,196"
11279,DRIEHAUS FRONTIER EMERGING MARKETS FUND,5027183,"1,765,162"
11280,DRILL TECH (PRIVATE) LIMITED,3818159,-
11281,DRILLING SOLUTIONS PAKISTAN (PRIVATE) LIMITED,7934473,"44,081"
11282,DRIVE CONSULTANTS (PRIVATE) LIMITED,4046554,"64,040"
11283,DRIVE EQUIPMENT (PRIVATE) LIMITED,7941557,-
11284,DRIVE FOR ECONOMIC AND ENVIRONMENTAL DEVELOPMENT,7258498,-
11285,DRIVE LUBRICANTS (PRIVATE) LIMITED,8929711,-
11286,DRK PHARMA SOLUTIONS (PVT.) LIMITED,7379593,"47,835"
11287,DRONES SECURITY SERVICES (PRIVATE) LIMITED,3100288,"1 50,913"
11288,DROP HOME (SMC-PRIVATE) LIMITED,7875245,-
11289,D'ROYAL LOGISTICS (PRIVATE) LIMITED,2814257,-
11290,DRTECH (SMC-PRIVATE) LIMITED,8945052,-
11291,DRUG EXCHANGE (PRIVATE) LIMITED,1879213,-
11292,DRUG FREE PAKISTAN FOUNDATION,4160531,-
11293,DRUG PHARM (PVT) LTD,1423150,-
11294,DRUG REGULATORY AUTHORITY OF PAKISTAN,9016100,"9,277,925"
11295,DRUGHPARMA CHEMICALS (PRIVATE) LIMITED,1428531,"6 42,161"
11296,"DRUGS AND NARCOTICS, EDUCATIONAL SERVICES FOR HUMANITY (DANESH)",5051745,-
11297,DRUMMONDS (PRIVATE) LIMITED,3412742,-
11298,DRUPAK (PVT.) LIMITED,7198567,-
11299,DRWEBWORKS (PRIVATE)LIMITED,4284385,-
11300,DRY-X (PRIVATE) LIMITED,710254,-
11301,DS GLOBAL (PRIVATE) LIMITED,5225678,-
11302,DSA ENVIRONMENTAL SANITATION SERVICES COMPANY LIMITED,7913828,3
11303,DSCIFER (PVT.) LIMITED,7459324,-
11304,DSF HOSPITALITY SERVICES (PRIVATE) LIMITED,4126238,-
11305,DSI CONSULTING WORLDWIDE (PRIVATE) LIMITED,2678551,"1,003,230"
11306,DSL ENGINEERING (PVT.) LIMITED,7253971,-
11307,DSM SINGAPORE INDUSTRIAL PTE LTD,7410022,-
11308,DSQ MEDIA (PVT.) LIMITED,7282308,-
11309,DSRA EDUCATION & WELFARE TRUST,2589035,-
11310,DSRA HEALTH & WELFARE TRUST,3637058,-
11311,DSV AIR AND SEA PAKISTAN (SMC-PRIVATE) LIMITED,1936447,"12,426,879"
11312,DTD WORLDWIDE EXPRESS (PRIVATE) LIMITED,5254661,-
11313,D-TEK INTERNATIONAL (PRIVATE) LIMITED,2549327,-
11314,DTH PAKISTAN (PRIVATE) LIMITED,3935293,-
11315,DU TRACK (PVT.) LIMITED,7198429,169
11316,DUA AL MADINA TRAVEL AND TOURS (PRIVATE) LIMITED,3756707,-
11317,DUA ASSOCIATES (PRIVATE) LIMITED,4107939,-
11318,DUA E REHMAT TRAVELS & TOURS (PVT.) LIMITED,7275929,-
11319,DUA FOUNDATION,7188631,-
11320,DUA TEXTILE (PRIVATE) LIMITED,2128583,"2 37,041"
11321,DUA TRAVELS LODHRAN (PVT.) LIMITED,7385892,-
11322,DUAA (PRIVATE) LIMITED,2460270,-
11323,DUA-I-HARMEIN AL-FATAH HAJJ GROUP (PRIVATE) LIMITED,2460621,"2 64,000"
11324,DUBAI AVIATION CORPORATION,7312346,-
11325,DUBAI AVIATION CORPORATION-FLYDUBAI (PRIVATE) LIMITED,4021575,"3,024"
11326,DUBAI ISLAMIC BANK PAKISTAN LIMITED,2395184,"860,714,422"
11327,DUBAI ISLAMIC BANK PAKISTAN LIMITED EMPLOYEES GRATUITY FUND,7149453,-
11328,DUBAI ISLAMIC BANK PAKISTAN LIMITED EMPLOYEES PROVIDENT FUND,7149411,-
11329,DUBAI ISLAMIC BANK PJSC,2574734,"5 02,140"
11330,DUBAI LINK TRAVEL & TOURISM (PRIVATE) LIMITED,3825345,"30,301"
11331,DUBAI SKY INTERNET (PRIVATE) LIMITED,4221147,-
11332,DUCAN (PVT.) LIMITED,5026292,-
11333,DUCK PVT LIMITED,4360442,-
11334,DUET EM FRONTIER FUND LIMITED,7507910,"8 08,539"
11335,DUGAN SECURITIES (PRIVATE) LIMITED,4125417,"63,345"
11336,DUGHAL & COMPANY (PVT.) LIMITED,7239956,"27,734,645"
11337,DULCE FOOD INDUSTRIES (PRIVATE) LIMITED,7966048,-
11338,DUMMER FLOUR MILLS (PVT) LIMITED,3984495,"4,009,385"
11339,DUMPLING ZHANG TRAVEL AND TOURS (PVT.) LIMITED,7954394,-
11340,DUNCAN STRATTON & CO. (PRIVATE) LIMITED,710255,"7,822,547"
11341,DUNCAN STRATTON & COMPANY (UK) LIMITED,1018711,"4 70,836"
11342,DUNE INTERNATIONAL (PRIVATE) LIMITED,3048749,"2 00,814"
11343,DUNMORE INVESTMENTS LTD,4300710,"24,882,195"
11344,DUNYA (PRIVATE) LIMITED,3032788,-
11345,DUNYA FOUNDATION,2399180,-
11346,DUOS LINKS COMMUNICATION (PVT.) LIMITED,7320023,"33,191"
11347,DUPAK CORRUGATORS (PRIVATE)LIMITED,3619640,"5,733,089"
11348,DUPAK DEVELOPERS PAKISTAN (PRIVATE) LIMITED,3001738,"2,304,462"
11349,DUPAK PROPERTIES (PVT.) LIMITED,7295350,"1,186,052"
11350,DUPAK TAMEER LIMITED,3403736,-
11351,DUPONT CAPITAL EMERGING MARKETS FUND,7461691,-
11352,DUPONT PAKISTAN OPERATION (PVT) LTD - EMPLOYEES GRATUITY FUND,7147485,-
11353,DUPONT PAKISTAN OPERATION (PVT) LTD - EMPLOYEES PROVIDENT FUND,7148521,-
11354,DUPONT PAKISTAN OPERATION (PVT) LTD EMPLOYEES PENSION FUND,7144360,-
11355,DUPONT PAKISTAN OPERATIONS (PRIVATE) LIMITED,999412,"78,860,516"
11356,DUPONT PENSION TRUST,7494960,-
11357,DURA FLOW PLASTICS (PRIVATE) LIMITED,7988853,-
11358,DURA SEEDS (PVT.) LIMITED,7578362,-
11359,DURACLEAN WASTE MANAGEMENT SERVICES PAKISTAN (PRIVATE)LIMITED,1512534,"9 91,762"
11360,DURAFOAM (PRIVATE) LIMITED,786490,-
11361,DURANI HAJJ & UMRAH SERVICES (PRIVATE) LIMITED,3982175,-
11362,DURATECH SOLUTIONS (PVT.) LIMITED,7352929,-
11363,DURBEEN,7924132,-
11364,DUR-E-DUWRAN (PVT.) LIMITED,5287362,-
11365,DURO CONSTRUCTION (PVT) LIMITED,3767837,-
11366,DURO ENGINEERING INDUSTRIES (PRIVATE) LIMITED,8926306,-
11367,DURR E DURRAN ASSOCIATES (PRIVATE) LIMITED,7924702,-
11368,DURRA TUL TAYYEBA TRAVEL & TOURS (PRIVATE) LIMITED,3986254,-
11369,DURRANI AND COMPANY (PRIVATE) LIMITED,2197902,-
11370,DURRANI AND SONS (PVT.) LIMITED,7281446,"60,069"
11371,DURRANI BOTTLING COMPANY ( (PRIVATE)) LIMITED,305425,-
11372,DURRANI BROTHERS (PVT) LTD,2832054,"5 74,593"
11373,DURRANI INTERNATIONAL (PVT.) LIMITED,7337663,-
11374,DURRANI ISHAQ HAJJ SERVICES (PRIVATE) LIMITED,2670129,-
11375,DURRANI MARKETING NETWORK (SMC-PRIVATE) LIMITED,7993106,-
11376,DURUS INDUSTRIES (PRIVATE) LIMITED,913499,"1,210,140"
11377,DUSAM & COMPANY (PRIVATE) LIMITED,2568273,"6 27,101"
11378,DUTCH MILL (PVT.) LIMITED,7202411,"7,997"
11379,DUTECH (PRIVATE) LIMITED,804418,"3,724,951"
11380,DUTY FREE DEPOT (PRIVATE) LIMITED,8957124,-
11381,DUX ( (PRIVATE)) LIMITED,1505493,-
11382,DV COM LIMITED,2098007,-
11383,DVCOM DATA PRIVATE LIMITED,3022726,"8,160,000"
11384,DVI FUND (MAURITIUS LIMITED,3828664,-
11385,DW PAKISTAN (PVT.) LIMITED,7332681,"5,816"
11386,DWISETECH (PVT.) LIMITED,7393172,-
11387,DWIZARDZ TECHNOLOGIES (PRIVATE) LIMITED,8917106,-
11388,DWP ENGINEERING INDUSTRIES (PVT.) LIMITED,7330069,-
11389,DWP TECHNOLOGIES (PRIVATE) LIMITED,1547417,"127,069,296"
11390,DXN INTERNATIONAL PAKISTAN (PRIVATE) LIMITED,2772216,"6,681,551"
11391,DYCONIX ENGINEERING (PRIVATE) LIMITED,2281529,-
11392,DYCONSOL PRIVATE LIMITED,4268042,-
11393,DYG TECHNOLOGIES (PRIVATE) LIMITED,7942950,-
11394,DYL MOTORCYCLES LIMITED,507432,"6,522,955"
11395,DYMAXEL SYSTEMS (PRIVATE) LIMITED,8928999,-
11396,DYNA FORCE CONSTRUCTION ENGINEERING (PRIVATE) LIMITED,673138,"10,813,703"
11397,DYNAMIC AVIATION (PRIVATE) LIMITED,8942087,-
11398,DYNAMIC BRAVO INDUSTRIES (SMC-PVT.) LIMITED,3967813,"10,272,477"
11399,DYNAMIC CONSTRUCTION (PVT.) LIMITED,7354344,-
11400,DYNAMIC DEVELOPMENT SOLUTIONS (PRIVATE) LIMITED,3253966,-
11401,DYNAMIC ENGINEERING SOLUTIONS (SMC-PVT.) LIMITED,7157574,-
11402,DYNAMIC ENGINEERS & CONTRACTORS (PRIVATE) LIMITED,7911740,-
11403,DYNAMIC EQUIPMENT & CONTROLS (PRIVATE) LIMITED,1500956,"26,003,832"
11404,DYNAMIC EXCEL(PRIVATE)LIMITED.,3816255,-
11405,DYNAMIC FAR EAST VALUE FUND,4106782,"2 18,002"
11406,DYNAMIC GLOBAL LOGISTICS PAKISTAN (PVT.) LIMITED,4208089,"7 28,850"
11407,DYNAMIC GLOBAL SHIPPING (PRIVATE) LIMITED,8894286,-
11408,DYNAMIC GREEN (PRIVATE) LIMITED,4173240,-
11409,DYNAMIC IMPEX (PRIVATE) LIMITED,2871886,-
11410,DYNAMIC JOURNEYS PRIVATE LIMITED,4412047,"1,389,670"
11411,DYNAMIC LOGISTICS INTL PVT LTD,999294,"9,858,083"
11412,DYNAMIC ONLINE TECHNOLOGIES (SMC-PRIVATE) LIMITED,8923982,-
11413,DYNAMIC OPINION INTERNATIONAL (PRIVATE) LIMITED,7605027,-
11414,DYNAMIC PACKAGING (PRIVATE) LIMITED,2121521,"17,276,410"
11415,DYNAMIC SECURITY (PRIVATE) LIMITED,1424608,"1 55,818"
11416,DYNAMIC SHIPPING AGENCIES (PRIVATE) LIMITED,1029358,"14,109,552"
11417,DYNAMIC SOLUTIONS CONSULTANCY SERVICES (SMC-PRIVATE) LIMITED,8891999,-
11418,DYNAMIC SPINNING MILLS (PRIVATE) LIMITED,3963102,"9,081,758"
11419,DYNAMIC SPORTSWEAR (PVT) LIMITED,1300295,"16,538,272"
11420,DYNAMIC STAFFING SERVICES (PRIVATE) LIMITED,4242396,-
11421,DYNAMIC SUPPLY CHAIN PRIVATE LIMITED,4364408,-
11422,DYNAMIC SURGICAL (PRIVATE) LIMITED,994840,"1 11,900"
11423,DYNAMIC TEXTILES (PRIVATE) LIMITED,3970986,"8,936,617"
11424,DYNAMIC TOURS (PVT) LIMITED,4032667,"1,115,855"
11425,DYNAMIC WERX (PRIVATE) LIMITED,2866101,-
11426,DYNAMICS INTERNATIONAL (PRIVATE) LIMITED,710258,"4 29,118"
11427,DYNAMISM IT SOLUTIONS (PRIVATE) LIMITED,2588022,-
11428,DYNAMO LOGIX (PRIVATE) LIMITED,4097507,-
11429,DYNAMOVA PAKISTAN (PRIVATE) LIMITED,7995428,-
11430,DYNAPRO PRIVATE LIMITED,4404747,"5,538"
11431,DYNAST SERVICES (PVT) LIMITED,4351410,-
11432,DYNASTY APPARTMENTS (PRIVATE) LIMITED,3961726,-
11433,DYNASTY FINANCIAL ADVISORS (PRIVATE) LIMITED,7910985,-
11434,DYNASTY HOSPITALITY PRIVATE LIMITED,4299454,-
